ID,Renta_secc,n,distance,feature_x,feature_y,nearest_x,nearest_y
"2801301","8353","1",116.005388427760863,449720.777392511488870,4431898.020472898148000,449646.804565031197853,4431987.380816109478474
"2801302","9767","1",195.618539841639148,449489.799882376100868,4431139.928012337535620,449325.938075112528168,4431246.773326928727329
"2801303","10726","1",334.855153002076349,447736.890523964131717,4430731.872640014626086,447415.802021697862074,4430826.899726702831686
"2801304","13268","1",172.142709091925383,441800.483423783327453,4427265.943966476246715,441679.389710623887368,4427143.594365223310888
"28014","11305","1",624.193756565608851,462135.902567753917538,4460302.833035489544272,462562.831854090152774,4460758.189193023368716
"28015",,"1",319.388698225520102,422146.353767255204730,4459249.939821183681488,422423.638152296247426,4459091.438999840058386
"28018","15720","1",534.199780845432429,420800.287660271802451,4506700.164632601663470,420689.543906851671636,4506177.569926415570080
28019_AM,"11338","1",1961.935059387236379,469510.809221232077107,4445808.279493726789951,468335.669689579051919,4447379.341637118719518
"28022","22851","1",401.876136572723283,424267.407482212758623,4474792.413993259891868,424529.116770771681331,4474487.434194865636528
"28023","15151","1",1420.721553846575716,422126.834471383015625,4506888.882340198382735,422769.903971037769224,4508155.733299142681062
"28026","10749","1",1036.494980374561010,415567.995079397107475,4472310.435098437592387,415256.919111459923442,4473299.148194595240057
28027_AM,"15380","1",2682.088407497671597,435515.208618006086908,4532631.821365368552506,434001.586865510966163,4534845.991055344231427
"28028","13328","1",0.018506775296050,438596.387703006621450,4521426.980676533654332,438596.404317687090952,4521426.972524655051529
"28030","12998","1",0.041372420308330,448321.213224366947543,4523713.123996912501752,448321.176173245767131,4523713.105587904341519
"28031","9881","1",1671.507969529463480,378225.999069799552672,4461865.652582740411162,379895.338311442174017,4461950.772430676966906
28032_AM,"14269","1",418.997287583180935,468938.515813488920685,4492555.473136804066598,468753.519378701341338,4492179.527600698173046
"28033","11282","1",1852.601786769845148,468288.233868520474061,4463673.618870236910880,469770.092585971171502,4462561.760910847224295
"28036","11313","1",457.476628365866304,429154.281121423467994,4447225.361952764913440,428699.433316010341514,4447274.334796381182969
28037_AM,"9930","1",2340.710336350990474,371570.844520509708673,4457927.571946247480810,370642.391000341565814,4455778.874913255684078
"28038","14062","1",1070.955649649968564,411026.645074167638086,4512331.199930017814040,412075.755018639320042,4512546.407569119706750
"2804001","11155","1",158.492216885164765,447652.827071913750842,4445763.947221087291837,447775.186041536508128,4445864.684827600605786
"2804002","11306","1",65.395990017480742,448391.904825340665411,4444644.293554733507335,448450.328135908814147,4444614.910697611980140
"2804003","10935","1",57.038297076358781,446351.780723805539310,4446810.722032683901489,446312.225112120271660,4446851.816082345321774
"28041","15946","1",1399.510681481973279,457033.270980755332857,4490944.094197417609394,455840.999412384524476,4491676.977990959770977
28042_AM,"12984","1",2984.489806808981939,399117.372448233712930,4476454.483347530476749,398775.922516710066702,4473489.590204226784408
"2804301","9229","1",954.449286470878633,467413.321854584908579,4437442.440709395334125,467417.084496644150931,4436487.998839520849288
"2804302","9713","1",2497.489014696375762,459165.870196333678905,4436624.002641918137670,459330.732010375475511,4439116.044367250986397
"28044","13110","1",1591.216954942814709,413705.095103283063509,4487928.944470104761422,415200.133170097542461,4487384.121034051291645
